#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
31.150856	7.128642
31.194914	7.128642
31.239008	7.125085
31.283088	7.127348
31.327152	7.129937
31.371210	7.133174
31.415240	7.135118
31.459272	7.136415
31.503278	7.140308
31.547282	7.139659
31.591290	7.138037
31.635334	7.129613
31.679422	7.121532
31.723588	7.106711
31.767840	7.091951
31.812180	7.077572
31.856612	7.063568
31.901122	7.052469
31.945698	7.040457
31.990336	7.037618
32.034990	7.031947
32.079656	7.032262
32.124348	7.029430
32.169030	7.031317
32.213696	7.034151
32.258358	7.036672
32.302988	7.038879
32.347620	7.041088
32.392224	7.044246
32.436828	7.043614
32.481436	7.042035
32.526080	7.033836
32.570770	7.025342
32.615544	7.010293
32.660404	6.994996
32.705364	6.979766
32.750420	6.965528
32.795556	6.954427
32.840760	6.943053
32.886024	6.939679
32.931310	6.934165
32.976604	6.934471
33.021932	6.930493
33.067250	6.932940
33.112548	6.935696
33.157842	6.938759
33.203106	6.940599
33.248368	6.942439
33.293604	6.946430
33.338838	6.945202
33.384080	6.943053
33.429362	6.934777
33.474690	6.926521
33.520104	6.910675
33.565612	6.896112
33.611216	6.880404
33.656926	6.865969
33.702718	6.854583
33.748580	6.842938
33.794508	6.839660
33.840452	6.834898
33.886406	6.834898
33.932390	6.832223
33.978360	6.834304
34.024314	6.836981
34.070260	6.840256
34.116174	6.842043
34.162090	6.844428
34.207974	6.847711
34.253858	6.846815
34.299752	6.844727
34.345686	6.836088
34.391670	6.826878
34.437748	6.811484
34.483924	6.795571
34.530198	6.781196
34.576578	6.766591
34.623044	6.755242
34.669580	6.743641
34.716186	6.739880
34.762812	6.734678
34.809450	6.734678
34.856118	6.732080
34.902768	6.735256
34.949398	6.737856
34.996018	6.741326
35.042606	6.743352
35.089196	6.745089
35.135754	6.748856
35.182314	6.747117
35.228884	6.745379
35.275494	6.736700
35.322158	6.727755
35.368916	6.712518
35.415772	6.696207
35.462742	6.680260
35.509822	6.665802
35.556990	6.654225
35.604236	6.642126
35.651552	6.639318
35.698882	6.634271
35.746226	6.634551
35.793600	6.631750
35.840958	6.633991
35.888296	6.637074
35.935628	6.640441
35.982920	6.642968
36.030212	6.644655
36.077478	6.648029
36.124740	6.646904
36.172016	6.644655
36.219336	6.635112
36.266716	6.625876
36.314196	6.609705
36.361780	6.594166
36.409474	6.578976
36.457284	6.563582
36.505186	6.552083
36.553168	6.540624
36.601220	6.536814
36.649294	6.531921
36.697380	6.531921
36.745492	6.530020
36.793588	6.533279
36.841656	6.536270
36.889718	6.538991
36.937744	6.541714
36.985770	6.543076
37.033764	6.547167
37.081760	6.545530
37.129768	6.542804
37.177822	6.534366
37.225936	6.524324
37.274154	6.508105
37.322488	6.491430
37.370940	6.475641
37.419514	6.460195
37.468186	6.447996
37.516942	6.436635
37.565768	6.433471
37.614618	6.427943
37.663478	6.428206
37.712374	6.425576
37.761250	6.428206
37.810100	6.431891
37.858942	6.435316
37.907740	6.437954
37.956538	6.440065
38.005306	6.442971
38.054072	6.441914
38.102856	6.439009
38.151690	6.428995
38.200592	6.419274
38.249602	6.403311
38.298724	6.386909
38.347970	6.371365
38.397338	6.355897
38.446814	6.343064
38.496376	6.331814
38.546012	6.328242
38.595672	6.323148
38.645340	6.324421
38.695036	6.322130
38.744708	6.325439
38.794354	6.328752
38.843992	6.332069
38.893586	6.334622
38.943180	6.336667
38.992742	6.339736
39.042304	6.338712
39.091882	6.335389
39.141516	6.325949
39.191216	6.315775
39.241034	6.298554
39.290978	6.281678
39.341050	6.265392
39.391254	6.250433
39.441564	6.237774
39.491964	6.226401
39.542442	6.222947
39.592942	6.217528
39.643458	6.217774
39.694006	6.215314
39.744534	6.218759
39.795030	6.221961
39.845514	6.226154
39.895956	6.228129
39.946398	6.230352
39.996804	6.233319
40.047216	6.231835
40.097646	6.228376
40.148132	6.218513
40.198694	6.208190
40.249374	6.191306
40.300184	6.174514
40.351132	6.157571
40.402216	6.141921
