#Creator: wheelEventBuffer
#Creation time: Wed Apr  5 15:17:47 2017
#Time	Angular velocity
#[s]	[rad/s]
83.516064	4.515340
83.586100	4.456286
83.657040	4.400729
83.728864	4.348345
83.801538	4.294492
83.875168	4.243102
83.949644	4.193151
84.025052	4.139993
84.101446	4.086253
84.178902	4.026857
84.257536	3.966457
84.337470	3.897371
84.418916	3.820402
84.502114	3.735189
84.587328	3.643102
84.674768	3.544935
84.764690	3.446165
84.857226	3.346891
84.952536	3.247393
85.050790	3.150603
85.151974	3.059476
85.256212	2.970605
85.363482	2.887069
85.473834	2.809257
85.587264	2.730870
85.704072	2.651670
85.824466	2.570777
85.948876	2.483590
86.077886	2.392246
86.212272	2.290058
86.353226	2.177126
86.502372	2.047654
86.662436	1.896410
86.837770	1.713758
87.035982	1.495185
87.271826	1.232113
87.591082	0.880343
88.446128	0.229131
89.308964	0.731430
89.691920	1.034528
89.971736	1.267538
90.204550	1.466828
90.408454	1.640279
90.592700	1.788471
90.762824	1.917570
90.922356	2.031369
91.073510	2.133220
91.218002	2.221683
91.357038	2.302208
91.491440	2.375998
91.621832	2.446380
91.748520	2.514360
91.871936	2.579050
91.992212	2.646176
92.109450	2.714963
92.223688	2.784952
92.335046	2.859425
92.443448	2.937550
92.548988	3.017744
92.651724	3.100052
92.751748	3.183423
92.849234	3.264942
92.944342	3.343685
93.037326	3.417300
93.128384	3.485082
93.217788	3.546056
93.305688	3.603570
93.392274	3.654715
93.477656	3.705670
93.561914	3.752141
93.645154	3.798231
93.727348	3.844902
93.808614	3.888206
93.888950	3.933284
93.968358	3.979924
94.046814	4.026754
94.124330	4.079779
94.200794	4.136832
94.276208	4.195279
94.350560	4.255978
94.423822	4.320360
94.496048	4.381335
94.567328	4.436275
94.637848	4.478010
94.707840	4.503301
94.777622	4.506919
94.847482	4.491711
94.917768	4.453128
94.988788	4.399004
95.060820	4.327859
95.134102	4.249645
95.208700	4.172102
95.284742	4.092854
95.362234	4.016560
95.441210	3.941278
95.521690	3.865148
95.603758	3.792820
95.687352	3.723678
95.772506	3.655735
95.859228	3.590638
95.947506	3.527105
96.037426	3.462497
96.129058	3.396096
96.222596	3.324648
96.318248	3.246990
96.416350	3.162401
96.517198	3.071921
96.621234	2.972572
96.728898	2.868720
96.840688	2.757525
96.957246	2.640571
97.079210	2.517625
97.207614	2.385126
97.343508	2.247784
97.488202	2.105682
97.643388	1.955478
97.811464	1.798217
97.995404	1.634612
98.199722	1.462471
98.432086	1.273343
98.708470	1.052009
99.079054	0.759925
100.062926	0.200054
101.064268	0.608444
101.530820	0.820002
101.887422	0.976973
102.191440	1.110480
102.461016	1.234534
102.704410	1.357787
102.926206	1.485541
103.129200	1.619428
103.315994	1.755276
103.488766	1.891614
103.649512	2.027619
103.799974	2.157006
103.941864	2.280549
104.076364	2.398089
104.204596	2.508498
104.327428	2.613073
104.445648	2.707103
104.559986	2.793719
104.670994	2.870345
104.779284	2.936617
104.885316	2.991879
104.989512	3.040820
105.092070	3.086226
105.193126	3.131821
105.292692	3.179106
105.390734	3.229168
105.487250	3.281859
105.582100	3.340911
105.675278	3.402643
105.766714	3.469303
105.856348	3.542058
105.944122	3.615181
106.030168	3.690174
106.114538	3.760405
106.197536	3.815205
106.279548	3.852257
106.361052	3.862582
106.442616	3.848482
106.524748	3.807530
106.608050	3.742754
