#Creator: pendulumviewEventBuffer
#Creation time: Wed Feb 22 15:33:09 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
29.629	423	29.654	469
29.680	458	29.705	440
29.731	494	29.755	413
29.781	527	29.807	389
29.832	556	29.857	370
29.882	579	29.908	356
29.934	596	29.958	349
29.984	603	30.009	348
30.035	604	30.060	354
30.085	596	30.111	366
30.136	580	30.162	386
30.186	559	30.212	409
30.238	530	30.263	436
30.288	497	30.313	465
30.339	462	30.365	494
30.389	426	30.415	522
30.440	393	30.466	548
30.491	361	30.516	569
30.542	333	30.567	584
30.592	313	30.618	595
30.643	301	30.669	599
30.693	296	30.719	596
30.745	299	30.770	586
30.795	309	30.820	571
30.846	328	30.872	551
30.896	352	30.922	525
30.947	381	30.973	498
30.998	415	31.023	468
31.049	450	31.074	439
31.099	484	31.124	412
31.150	518	31.176	388
31.200	548	31.226	369
31.251	572	31.277	357
31.302	589	31.327	349
31.353	599	31.378	348
31.403	602	31.429	354
31.454	596	31.480	367
31.504	582	31.530	387
31.556	561	31.581	410
31.606	534	31.631	437
31.657	502	31.683	466
31.707	469	31.733	495
31.758	434	31.784	523
31.809	400	31.834	549
31.860	368	31.885	570
31.910	341	31.935	586
31.961	318	31.987	596
32.011	305	32.037	600
32.062	299	32.088	596
32.113	299	32.138	587
32.164	307	32.189	571
32.214	323	32.240	550
32.265	346	32.291	525
32.315	374	32.341	497
32.367	405	32.392	467
32.417	440	32.442	438
32.468	474	32.494	410
32.518	507	32.544	387
32.569	536	32.595	367
32.620	562	32.645	354
32.671	581	32.696	346
32.721	593	32.746	346
32.772	597	32.798	354
32.822	593	32.848	367
32.873	581	32.899	386
32.924	562	32.949	410
32.975	537	33.000	437
33.025	507	33.051	467
33.076	474	33.102	496
33.126	439	33.152	524
33.178	405	33.203	551
33.228	374	33.253	572
33.279	345	33.305	588
33.329	322	33.355	598
33.380	306	33.406	601
33.431	298	33.456	598
33.482	297	33.507	588
33.532	303	33.558	573
33.583	318	33.609	550
33.633	339	33.659	525
33.684	365	33.710	497
33.735	396	33.760	467
33.786	429	33.811	438
33.837	463	33.862	410
33.887	495	33.913	385
33.938	526	33.963	366
33.989	552	34.014	353
34.040	572	34.064	345
34.090	584	34.116	344
34.141	590	34.166	352
34.191	589	34.217	366
34.243	578	34.267	384
34.293	561	34.318	409
34.344	537	34.369	436
34.394	509	34.420	466
34.445	477	34.470	497
34.495	443	34.521	525
34.547	410	34.571	551
34.597	378	34.622	573
34.648	349	34.673	590
34.698	326	34.724	600
34.749	308	34.774	603
34.800	299	34.825	600
34.851	296	34.875	590
34.901	301	34.927	574
34.952	313	34.977	552
35.002	332	35.028	526
35.054	357	35.078	497
35.104	386	35.129	467
35.155	418	35.180	437
35.205	452	35.231	409
35.256	484	35.281	384
35.306	514	35.332	365
35.358	541	35.382	351
35.408	562	35.433	343
35.459	576	35.484	342
35.509	583	35.535	349
35.560	583	35.585	363
35.611	575	35.636	383
35.662	559	35.686	407
35.712	537	35.738	435
35.763	510	35.788	465
35.813	480	35.839	496
35.865	447	35.889	525
35.915	414	35.940	552
35.966	382	35.991	574
36.016	354	36.042	591
36.067	330	36.092	602
36.118	311	36.143	606
36.169	301	36.193	603
36.219	297	36.244	593
36.270	300	36.295	577
36.320	310	36.346	556
36.371	328	36.396	530
36.422	351	36.447	500
36.473	379	36.497	469
36.523	409	36.549	438
36.574	442	36.599	409
